word,definition
bolero,music written in the rhythm of the bolero dance
carioca,music composed for dancing the carioca
flamenco,guitar music composed for dancing the flamenco
gavotte,music composed in quadruple time for dancing the gavotte
habanera,music composed in duple time for dancing the habanera
hornpipe,music for dancing the hornpipe
jig,music in three-four time for dancing a jig
landler,music in triple time for dancing the landler
mazurka,music composed for dancing the mazurka
minuet,a stately piece of music composed for dancing the minuet; often incorporated into a sonata or suite
paso doble,music in march time composed for dancing the paso doble; often played at bull fights
pavane,music composed for dancing the pavane
quadrille,music for dancing the quadrille
rhumba,syncopated music in duple time for dancing the rumba
saraband,music composed for dancing the saraband
serialism,20th century music that uses a definite order of notes as a thematic basis for a musical composition
tarantella,music composed in six-eight time for dancing the tarantella
techno,a style of fast heavy electronic dance music usually without vocals
waltz,music composed in triple time for waltzing
quickstep,military march accompanying quick time
pibroch,martial music with variations; to be played by bagpipes
dead march,a slow march to be played for funeral processions
macumba,popular dance music of Brazil; derived from the practices of the macumba religious cult
pop music,music of general appeal to teenagers; a bland watered-down version of rock'n'roll with more rhythm and harmony and an emphasis on romantic love
folk music,the traditional and typically anonymous music that is an expression of the life of people in a community
C and W,a simple style of folk music heard mostly in the southern United States; usually played on stringed instruments
ragtime,music with a syncopated melody (usually for the piano)
jazz,a style of dance music popular in the 1920s; similar to New Orleans jazz but played by large bands
gospel,folk music consisting of a genre of a cappella music originating with Black slaves in the United States and featuring call and response; influential on the development of other genres of popular music (especially soul)
doo-wop,a genre (usually a cappella) of Black vocal-harmony music of the 1950s that evolved in New York City from gospel singing; characterized by close four-part harmonies; the name derived from some of the nonsense syllables sung by the backup
bluegrass,a type of country music played at a rapid tempo on banjos and guitars
zydeco,music of southern Louisiana that combines French dance melodies with Caribbean music and blues
jazz,a genre of popular music that originated in New Orleans around 1900 and developed through increasingly complex styles
boogie,an instrumental version of the blues (especially for piano)
cool jazz,jazz that is restrained and fluid and marked by intricate harmonic structures often lagging slightly behind the beat
hot jazz,jazz that is emotionally charged and intense and marked by strong rhythms and improvisation
new jazz,any of various styles of jazz that appeared after 1940
neo jazz,any of various styles of jazz that appeared after 1940
rap music,genre of African-American music of the 1980s and 1990s in which rhyming lyrics are chanted to a musical accompaniment; several forms of rap have emerged
hip-hop,genre of African-American music of the 1980s and 1990s in which rhyming lyrics are chanted to a musical accompaniment; several forms of rap have emerged
R and B,a combination of blues and jazz that was developed in the United States by Black musicians; an important precursor of rock 'n' roll
rockabilly,a fusion of black music and country music that was popular in the 1950s; sometimes described as blues with a country beat
rock music,a genre of popular music originating in the 1950s; a blend of black rhythm-and-blues with white country-and-western
art rock,a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing
acid rock,a musical style that emerged in the 1960s; rock music inspired by or related to drug-induced experience
punk rock,rock music with deliberately offensive lyrics expressing anger and social alienation; in part a reaction against progressive rock
jive,a style of jazz played by big bands popular in the 1930s; flowing rhythms but less complex than later styles of jazz
reggae,popular music originating in the West Indies; repetitive bass riffs and regular chords played on the off beat by a guitar
skiffle,a style of popular music in the 1950s; based on American folk music and played on guitars and improvised percussion instruments
address,the manner of speaking to another individual
analysis,"the use of closed-class words instead of inflections: e.g., ‘the father of the bride’ instead of ‘the bride's father’"
bathos,triteness or triviality of style
Gongorism,an affected elegance of style that was introduced into Spanish literature by the poet Gongora
conceit,an artistic device or effect
device,something in an artistic work designed to achieve a particular effect
ecobabble,using the technical language of ecology to make the user seem ecologically aware
eloquence,powerful and effective language
fluency,powerful and effective language
smoothness,powerful and effective language
euphuism,any artificially elegant style of language
Eurobabble,the jargon of European community documents and regulations
flatness,a want of animation or brilliance
expression,the style of expressing yourself
ornateness,high-flown style; excessive use of verbal ornamentation
rhetoric,high-flown style; excessive use of verbal ornamentation
headlinese,using the abbreviated style of headline writers
honorific,an expression of respect
jargon,specialized technical terminology characteristic of a particular subject
journalese,the style in which newspapers are written
legalese,a style that uses the abstruse technical vocabulary of the law
speech,your characteristic style or manner of expressing yourself orally
delivery,your characteristic style or manner of expressing yourself orally
pathos,a style that has the power to evoke feelings
rhetoric,using language effectively to please or persuade
saltiness,language or humor that is down-to-earth
coarseness,language or humor that is down-to-earth
archaism,the use of an archaic expression
archaicism,the use of an archaic expression
mot juste,the appropriate word or expression
parlance,a manner of speaking that is natural to native speakers of a language
Anglicism,an expression that is used in Great Britain (especially as contrasted with American English)
Briticism,an expression that is used in Great Britain (especially as contrasted with American English)
Britishism,an expression that is used in Great Britain (especially as contrasted with American English)
Gallicism,a word or phrase borrowed from French
wording,the manner in which something is expressed in words
diction,the manner in which something is expressed in words
phrasing,the manner in which something is expressed in words
verbiage,the manner in which something is expressed in words
tongue,a manner of speaking
shibboleth,a manner of speaking that is distinctive of a particular group of people
roundness,the fullness of a tone of voice
rotundity,the fullness of a tone of voice
undertone,a quiet or hushed tone of voice
elocution,an expert manner of speaking involving control of voice and gesture
barrage,the rapid and continuous delivery of linguistic communication (spoken or written)
outpouring,the rapid and continuous delivery of linguistic communication (spoken or written)
onslaught,the rapid and continuous delivery of linguistic communication (spoken or written)
prosody,the patterns of stress and intonation in a language
inflection,the patterns of stress and intonation in a language
modulation,a manner of speaking in which the loudness or pitch or tone of the voice is modified
inflection,a manner of speaking in which the loudness or pitch or tone of the voice is modified
intonation,rise and fall of the voice pitch
modulation,rise and fall of the voice pitch
monotone,an unchanging intonation
droning,an unchanging intonation
monotone,a single tone repeated with different words or different rhythms (especially in rendering liturgical texts)
singsong,a regular and monotonous rising and falling intonation
caesura,a break or pause (usually for sense) in the middle of a verse line
enjambment,the continuation of a syntactic unit from one line of verse into the next line without a pause
stress,the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
emphasis,the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
rhythm,the arrangement of spoken words alternating stressed and unstressed elements
rhythm,the basic rhythmic unit in a piece of music
backbeat,a loud steady beat
downbeat,the first beat of a musical measure (as the conductor's arm moves downward)
upbeat,an unaccented beat (especially the last beat of a measure)
offbeat,an unaccented beat (especially the last beat of a measure)
recitative,a vocal passage of narrative text that a singer delivers with natural rhythms of speech
arioso,(music) a short recitative that is melodic but is not an aria
transition,a musical passage moving from one key to another
modulation,a musical passage moving from one key to another
bombast,pompous or pretentious talk or writing
fustian,pompous or pretentious talk or writing
claptrap,pompous or pretentious talk or writing
luridness,the journalistic use of subject matter that appeals to vulgar tastes
terseness,a neatly short and concise expressive style
conceit,a witty or ingenious turn of phrase
concision,terseness and economy in writing and speaking achieved by expressing a great deal in just a few words
pithiness,terseness and economy in writing and speaking achieved by expressing a great deal in just a few words
crispness,an expressive style that is direct and to the point
brevity,the use of brief expressions
laconism,terseness of expression
laconicism,terseness of expression
verbosity,an expressive style that uses excessive or empty words
verbiage,overabundance of words
verbalism,overabundance of words
prolixity,boring verbosity
prolixness,boring verbosity
windiness,boring verbosity
wordiness,boring verbosity
ambage,a style that involves indirect ways of expressing things
turgidity,pompously embellished language
turgidness,pompously embellished language
flatulence,pompously embellished language
redundancy,repetition of messages to reduce the probability of errors in transmission
pleonasm,using more words than necessary
tautology,useless and pointless repetition
tautology,(logic) a statement that is necessarily true
apocope,abbreviation of a word by omitting the final sound or sounds
initialism,an abbreviation formed from the initial letters of the several words in the name and pronounced separately
acronym,a word formed from the initial letters of the several words in the name and pronounced as one word
initialism,a word formed from the initial letters of the several words in the name and pronounced as one word
poetry,literature in metrical form
poetry,any communication resembling poetry in beauty or the evocation of feeling
prosody,(prosody) a system of versification
measure,(prosody) the accent in a metrical foot of verse
cadence,(prosody) the accent in a metrical foot of verse
catalexis,the absence of a syllable in the last foot of a line or verse
scansion,analysis of verse into metrical patterns
dactyl,a metrical unit with stressed-unstressed-unstressed syllables
iambus,a metrical unit with unstressed-stressed syllables
anapest,a metrical unit with unstressed-unstressed-stressed syllables
anapaest,a metrical unit with unstressed-unstressed-stressed syllables
amphibrach,"a metrical unit with unstressed-stressed-unstressed syllables (e.g., ‘remember’)"
trochee,a metrical unit with stressed-unstressed syllables
spondee,a metrical unit with stressed-stressed syllables
pyrrhic,a metrical unit with unstressed-unstressed syllables
dibrach,a metrical unit with unstressed-unstressed syllables
tetrameter,a verse line having four metrical feet
pentameter,a verse line having five metrical feet
hexameter,a verse line having six metrical feet
octameter,a verse line having eight metrical feet
head rhyme,use of the same consonant at the beginning of each stressed syllable in a line of verse
assonance,the repetition of similar vowels in the stressed syllables of successive words
consonance,the repetition of consonants (or consonant patterns) especially at the ends of words
eye rhyme,"an imperfect rhyme (e.g., ‘love’ and ‘move’)"
asyndeton,the omission of conjunctions where they would normally be used
repetition,the repeated use of the same word or word pattern as a rhetorical device
epanodos,repetition of a group of words in reverse order
epanodos,recapitulation of the main ideas of a speech (especially in reverse order)
epiphora,"repetition of the ends of two or more successive sentences, verses, etc."
epistrophe,"repetition of the ends of two or more successive sentences, verses, etc."
gemination,the doubling of a word or phrase (as for rhetorical effect)
polyptoton,repetition of a word in a different case or inflection in the same sentence
epanaphora,repetition of a word or phrase at the beginning of successive clauses
anaphora,repetition of a word or phrase at the beginning of successive clauses
anaphora,using a pronoun or similar word instead of repeating a word used earlier
symploce,"repetition of a word or phrase at the beginning and another at the end of successive clauses, i.e., simultaneous use of anaphora and epistrophe"
anastrophe,the reversal of the normal order of words
inversion,the reversal of the normal order of words
antithesis,the juxtaposition of contrasting words or ideas to give a feeling of balance
apophasis,mentioning something by saying it will not be mentioned
apostrophe,address to an absent or imaginary person
chiasmus,inversion in the second of two parallel phrases
climax,arrangement of clauses in ascending order of forcefulness
conversion,interchange of subject and predicate of a proposition
ecphonesis,an exclamatory rhetorical device
emphasis,special and significant stress by means of position or repetition e.g.
enallage,"a substitution of part of speech or gender or number or tense etc. (e.g., editorial ‘we’ for ‘I’)"
epiplexis,a rhetorical device in which the speaker reproaches the audience in order to incite or convince them
hendiadys,use of two conjoined nouns instead of a noun and modifier
hypallage,reversal of the syntactic relation of two words (as in ‘her beauty's face’)
hyperbaton,reversal of normal word order (as in ‘cheese I love’)
hypozeugma,use of a series of subjects with a single predicate
hypozeuxis,"use of a series of parallel clauses (as in ‘I came, I saw, I conquered’)"
litotes,understatement for rhetorical effect (especially when expressing an affirmative by negating its contrary)
meiosis,understatement for rhetorical effect (especially when expressing an affirmative by negating its contrary)
paralepsis,suggesting by deliberately concise treatment that much of significance is omitted
paralipsis,suggesting by deliberately concise treatment that much of significance is omitted
paregmenon,juxtaposing words having a common derivation (as in ‘sense and sensibility’)
prolepsis,anticipating and answering objections in advance
wellerism,a comparison comprising a well-known quotation followed by a facetious sequel
figure,language used in a figurative or nonliteral sense
conceit,an elaborate poetic image or a far-fetched comparison of very dissimilar things
hyperbole,extravagant exaggeration
kenning,"conventional metaphoric name for something, used especially in Old English and Old Norse poetry"
metaphor,a figure of speech in which an expression is used to refer to something that it does not literally denote in order to suggest a similarity
metonymy,substituting the name of an attribute or feature for the name of the thing itself (as in ‘they counted heads’)
metalepsis,substituting metonymy of one figurative sense for another
oxymoron,conjoining contradictory terms (as in ‘deafening silence’)
simile,a figure of speech that expresses a resemblance between things of different kinds (usually formed with ‘like’ or ‘as’)
synecdoche,substituting a more inclusive term for a less inclusive one or vice versa
syllepsis,use of a word to govern two or more words though agreeing in number or case etc. with only one
zeugma,"use of a verb with two or more complements, playing on the verb's polysemy, for humorous effect"
speech,(language) communication by word of mouth
language,(language) communication by word of mouth
utterance,the use of uttered sounds for auditory communication
speech,the exchange of spoken words
vocalism,the sound made by the vibration of vocal folds modified by the resonance of the vocal tract
phonation,the sound made by the vibration of vocal folds modified by the resonance of the vocal tract
vox,the sound made by the vibration of vocal folds modified by the resonance of the vocal tract
phoneme,(linguistics) one of a small set of speech sounds that are distinguished by the speakers of a particular language
allophone,(linguistics) any of various acoustically different forms of the same phoneme
ablaut,a vowel whose quality or length is changed to indicate linguistic distinctions (such as sing sang sung song)
gradation,a degree of ablaut
diphthong,a vowel sound that starts near the articulatory position for one vowel and moves toward the position for another
vocalism,the system of vowels used in a particular language
murmur,a schwa that is incidental to the pronunciation of a consonant
stem vowel,a vowel that ends a stem and precedes an inflection
semivowel,a vowellike sound that serves as a consonant
palatal,a semivowel produced with the tongue near the palate (like the initial sound in the English word ‘yeast’)
consonant,a speech sound that is not a vowel
consonant,a letter of the alphabet standing for a spoken consonant
alveolar,a consonant articulated with the tip of the tongue near the gum ridge
obstruent,a consonant that is produced with a partial or complete blockage of the airflow from the lungs through the nose or mouth
occlusive,a consonant produced by stopping the flow of air at some point and suddenly releasing it
plosive,a consonant produced by stopping the flow of air at some point and suddenly releasing it
implosion,the initial occluded phase of a stop consonant
plosion,the terminal forced release of pressure built up during the occlusive phase of a stop consonant
explosion,the terminal forced release of pressure built up during the occlusive phase of a stop consonant
aspirate,a consonant pronounced with aspiration
aspiration,a manner of articulation involving an audible release of breath
labial,a consonant whose articulation involves movement of the lips
bilabial,a consonant that is articulated using both lips; /p/ or /b/ or /w/
epenthesis,the insertion of a vowel or consonant into a word to make its pronunciation easier
continuant,consonant articulated by constricting (but not closing) the vocal tract
fricative,a continuant consonant produced by breath moving against a narrowing of the vocal tract
spirant,a continuant consonant produced by breath moving against a narrowing of the vocal tract
sibilant,a consonant characterized by a hissing sound (like s or sh)
affricate,a composite speech sound consisting of a stop and a fricative articulated at the same point (as ‘ch’ in ‘chair’ and ‘j’ in ‘joy’)
orinasal,a speech sound produced with both the oral and nasal passages open (as French nasal vowels)
lingual,a consonant that is produced with the tongue and other speech organs
liquid,a frictionless continuant that is not a nasal consonant (especially ‘l’ and ‘r’)
geminate,a doubled or long consonant
guttural,a consonant articulated in the back of the mouth or throat
pharyngeal,a consonant articulated in the back of the mouth or throat
sonant,a speech sound accompanied by sound from the vocal cords
outcry,a loud utterance; often in protest or opposition
bellow,a very loud utterance (like the sound of an animal)
bellowing,a very loud utterance (like the sound of an animal)
holler,a very loud utterance (like the sound of an animal)
hollering,a very loud utterance (like the sound of an animal)
holloa,a very loud utterance (like the sound of an animal)
roaring,a very loud utterance (like the sound of an animal)
catcall,a cry expressing disapproval
clamor,loud and persistent outcry from many people
clamoring,loud and persistent outcry from many people
clamour,loud and persistent outcry from many people
clamouring,loud and persistent outcry from many people
halloo,a shout to attract attention
hosanna,a cry of praise or adoration (to God)
scream,sharp piercing cry
screaming,sharp piercing cry
shriek,sharp piercing cry
shrieking,sharp piercing cry
screech,sharp piercing cry
screeching,sharp piercing cry
war cry,a yell intended to rally a group of soldiers in battle
war whoop,a yell intended to rally a group of soldiers in battle
battle cry,a yell intended to rally a group of soldiers in battle
yelling,uttering a loud inarticulate cry as of pain or excitement
shouting,uttering a loud inarticulate cry as of pain or excitement
raspberry,a cry or noise made to express displeasure or contempt
razzing,a cry or noise made to express displeasure or contempt
razz,a cry or noise made to express displeasure or contempt
blasphemy,blasphemous language (expressing disrespect for God or for something sacred)
obscenity,an offensive or indecent word or phrase
vulgarism,an offensive or indecent word or phrase
dirty word,an offensive or indecent word or phrase
bawdry,lewd or obscene talk or writing
scatology,a preoccupation with obscenity (especially that dealing with excrement or excretory functions)
curse word,profane or obscene expression usually of surprise or anger
expletive,profane or obscene expression usually of surprise or anger
swearing,profane or obscene expression usually of surprise or anger
swearword,profane or obscene expression usually of surprise or anger
croaking,a harsh hoarse utterance (as of a frog)
exclaiming,an abrupt excited utterance
dickens,a word used in exclamations of confusion
expletive,a word or phrase conveying no independent meaning but added to fill out a sentence or metrical line
howling,a long loud emotional utterance
ululation,a long loud emotional utterance
laughter,the sound of laughing
mumble,a soft indistinct utterance
cackle,a loud laugh suggestive of a hen's cackle
chortle,a soft partly suppressed laugh
chuckle,a soft partly suppressed laugh
giggle,a foolish or nervous laugh
guffaw,a burst of deep loud hearty laughter
hee-haw,a loud laugh that sounds like a horse neighing
horselaugh,a loud laugh that sounds like a horse neighing
haw-haw,a loud laugh that sounds like a horse neighing
snicker,a disrespectful laugh
snigger,a disrespectful laugh
titter,a nervous restrained laugh
paging,calling out the name of a person (especially by a loudspeaker system)
profanity,vulgar or irreverent speech or action
orthoepy,the way a word or a language is customarily spoken
sibilation,pronunciation with a sibilant (hissing or whistling) sound
exultation,the utterance of sounds expressing great joy
rejoicing,the utterance of sounds expressing great joy
jubilation,the utterance of sounds expressing great joy
speaking,the utterance of intelligible speech
speech,something spoken
sputter,an utterance (of words) with spitting sounds (as in rage)
splutter,an utterance (of words) with spitting sounds (as in rage)
whisper,speaking softly without vibration of the vocal cords
whispering,speaking softly without vibration of the vocal cords
rasping,uttering in an irritated tone
homograph,two words are homographs if they are spelled the same way but differ in meaning (e.g. fair)
homophone,two words are homophones if they are pronounced the same way but differ in meaning or spelling or both (e.g. bare and bear)
homophony,the same pronunciation for words of different origins
diction,the articulation of speech regarded from the point of view of its intelligibility to the audience
mumbling,indistinct enunciation
syncope,(phonology) the loss of sounds from within a word (as in ‘fo'c'sle’ for ‘forecastle’)
sandhi,the articulatory process whereby the pronunciation of a word or morpheme changes when it is followed immediately by another (especially in fluent speech)
thickness,indistinct articulation
crossfire,a lively or heated interchange of ideas and opinions
communion,sharing thoughts and feelings
sharing,sharing thoughts and feelings
exchange,a mutual expression of views (especially an unpleasant one)
confab,an informal conversation
schmooze,an informal conversation
schmoose,an informal conversation
chitchat,light informal conversation for social occasions
chit-chat,light informal conversation for social occasions
chit chat,light informal conversation for social occasions
small talk,light informal conversation for social occasions
gabfest,light informal conversation for social occasions
gossip,light informal conversation for social occasions
chin wag,light informal conversation for social occasions
chin-wag,light informal conversation for social occasions
causerie,light informal conversation for social occasions
gossiping,a conversation that spreads personal information about other people
talking,an exchange of ideas via conversation
dialogue,a conversation between two persons
dialog,a conversation between two persons
duologue,a conversation between two persons
shmooze,(Yiddish) a warm heart-to-heart talk
shop talk,talk about your business that only others in the same business can understand
malarkey,empty rhetoric or insincere or exaggerated talk
malarky,empty rhetoric or insincere or exaggerated talk
idle words,empty rhetoric or insincere or exaggerated talk
jazz,empty rhetoric or insincere or exaggerated talk
yakety-yak,noisy talk
chatter,noisy talk
cackle,noisy talk
prattle,idle or foolish and irrelevant talk
idle talk,idle or foolish and irrelevant talk
blether,idle or foolish and irrelevant talk
chin music,idle or foolish and irrelevant talk
nothings,inconsequential conversation
commerce,"social exchange, especially of opinions, attitudes, etc."
colloquy,formal conversation
detail,extended treatment of particulars
dilation,a lengthy discussion (spoken or written) on a particular topic
discussion,an extended communication (often interactive) dealing with some particular topic
treatment,an extended communication (often interactive) dealing with some particular topic
discourse,an extended communication (often interactive) dealing with some particular topic
expression,the communication (in speech or writing) of your beliefs or opinions
verbalism,the communication (in speech or writing) of your beliefs or opinions
discussion,an exchange of views on some topic
argument,a discussion in which reasons are advanced for and against some proposition or proposal
debate,a discussion in which reasons are advanced for and against some proposition or proposal
logomachy,argument about words or the meaning of words
parley,a negotiation between enemies
table talk,conversation during a meal
conference,a discussion among participants who have an agreed (serious) topic
colloquy,a conversation especially a formal one
sidebar,(law) a courtroom conference between the lawyers and the judge that is held out of the jury's hearing
audience,a conference (usually with someone important)
interview,a conference (usually with someone important)
postmortem,discussion of an event after it has occurred
huddle,(informal) a quick private conference
powwow,(informal) a quick private conference
pretrial,(law) a conference held before the trial begins to bring the parties together to outline discovery proceedings and to define the issues to be tried; more useful in civil than in criminal cases
roundtable,a meeting of peers for discussion and exchange of views
session,a meeting for execution of a group's functions
teach-in,an extended session (as on a college campus) for lectures and discussion on an important and usually controversial issue
sitting,a session as of a legislature or court
clinic,meeting for diagnosis of problems and instruction or remedial work in a particular activity
hearing,a session (of a committee or grand jury) in which witnesses are called and testimony is taken
tutorial,a session of intensive tuition given by a tutor to an individual or to a small number of students
dialogue,a discussion intended to produce an agreement
diplomacy,negotiation between nations
bargaining,the negotiation of the terms of a transaction or agreement
haggle,an instance of intense argument (as in bargaining)
haggling,an instance of intense argument (as in bargaining)
wrangle,an instance of intense argument (as in bargaining)
wrangling,an instance of intense argument (as in bargaining)
holdout,a refusal by a negotiator to come to terms in the hope of obtaining a better deal
mediation,a negotiation to resolve differences that is conducted by some impartial party
umpirage,mediation by an umpire
saying,a word or phrase that particular people use in particular situations
expression,a word or phrase that particular people use in particular situations
locution,a word or phrase that particular people use in particular situations
anatomical,an expression that relates to anatomy
sound bite,a very short speech; usually on radio or television
slogan,"a favorite saying of a group, organization or individual"
catchword,"a favorite saying of a group, organization or individual"
shibboleth,"a favorite saying of a group, organization or individual"
mantra,a commonly repeated word or phrase
war cry,a slogan used to rally support for a cause
battle cry,a slogan used to rally support for a cause
watchword,a slogan used to rally support for a cause
maxim,a saying that is widely accepted on its own merits
axiom,a saying that is widely accepted on its own merits
aphorism,a short pithy instructive saying
apothegm,a short pithy instructive saying
apophthegm,a short pithy instructive saying
Sod's Law,humorous axiom stating that anything that can go wrong will go wrong
moralism,a moral maxim
epigram,a witty saying
quip,a witty saying
proverb,a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
byword,a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
platitude,a trite or obvious remark
cliche,a trite or obvious remark
banality,a trite or obvious remark
bromide,a trite or obvious remark
truism,an obvious truth
set phrase,an expression whose meanings cannot be inferred from the meanings of the words that make it up
phrase,an expression whose meanings cannot be inferred from the meanings of the words that make it up
ruralism,a rural idiom or expression
rusticism,a rural idiom or expression
agrapha,sayings of Jesus not recorded in the canonical Gospels
sumpsimus,a correct expression that takes the place of a popular but incorrect expression
baby talk,the developing speech of a young child
babytalk,the developing speech of a young child
baby talk,an adult's imitation of the speech of a young child
babytalk,an adult's imitation of the speech of a young child
motherese,an adult's imitation of the speech of a young child
dialect,the usage or vocabulary that is characteristic of a specific group of people
patois,a regional dialect of a language (especially French); usually considered substandard
localism,a phrase or pronunciation that is peculiar to a particular locality
idiolect,the language or speech of one individual at a particular period in life
monologue,a long utterance by one person (especially one that prevents others from participating in the conversation)
vernacular,the everyday speech of the people (as distinguished from literary language)
jargon,a characteristic language of a particular group (as among thieves)
patois,a characteristic language of a particular group (as among thieves)
vernacular,a characteristic language of a particular group (as among thieves)
slang term,informal language consisting of words and expressions that are not considered appropriate for formal occasions; often vituperative or vulgar
invocation,an incantation used in conjuring or summoning a devil
hex,an evil spell
jinx,an evil spell
whammy,an evil spell
dictation,speech intended for reproduction in writing
soliloquy,speech you make to yourself
monologue,speech you make to yourself
speech act,the use of language to perform some act
proposal,the act of making a proposal
proposal,an offer of marriage
question,an informal reference to a marriage proposal
proposal,something proposed (such as a plan or assumption)
hypothesis,a proposal intended to explain certain facts or observations
suggestion,a proposal offered for acceptance or rejection
proffer,a proposal offered for acceptance or rejection
motion,a formal proposal for action made to a deliberative assembly for discussion and vote
question,a formal proposal for action made to a deliberative assembly for discussion and vote
intimation,an indirect suggestion
breath,an indirect suggestion
overture,a tentative suggestion designed to elicit the reactions of others
advance,a tentative suggestion designed to elicit the reactions of others
approach,a tentative suggestion designed to elicit the reactions of others
feeler,a tentative suggestion designed to elicit the reactions of others
offering,something offered (as a proposal or bid)
tender,a formal proposal to buy at a specified price
overbid,a bid that is higher than preceding bids
buyout bid,a bid to buy all of a person's holdings
prospectus,a formal written offer to sell securities (filed with the SEC) that sets forth a plan for a (proposed) business enterprise
reward,the offer of money for helping to find a criminal or for returning lost property
special,a special offering (usually temporary and at a reduced price) that is featured in advertising
twofer,an offer of two for the price of one
submission,something (manuscripts or architectural plans and models or estimates or works of art of all genres etc.) submitted for the judgment of others (as in a competition)
filing,the entering of a legal document into the public record
command,an authoritative direction or instruction to do something
bidding,an authoritative direction or instruction to do something
dictation,an authoritative direction or instruction to do something
summons,an order to appear in person at a given place and time
call up,an order to report for military duty
commission,a formal statement of a command or injunction to do something
charge,a formal statement of a command or injunction to do something
direction,a formal statement of a command or injunction to do something
directive,a pronouncement encouraging or banning some activity
injunction,a formal command or admonition
behest,an authoritative command or request
eisegesis,personal interpretation of a text (especially of the Bible) using your own ideas
exegesis,an explanation or critical interpretation (especially of the Bible)
ijtihad,the endeavor of a Muslim scholar to derive a rule of divine law from the Koran and Hadith without relying on the views of other scholars; by the end of the 10th century theologians decided that debate on such matters would be closed and Muslim theology and law were frozen
text,a passage from the Bible that is used as the subject of a sermon
expansion,a discussion that provides additional information
embroidery,elaboration of an interpretation by the use of decorative (sometimes fictitious) detail
letter,a strictly literal interpretation (as distinct from the intention)
version,an interpretation of a matter from a particular viewpoint
reading,a particular interpretation or performance
mistaking,putting the wrong interpretation on
imbroglio,a very embarrassing misunderstanding
misreading,misinterpretation caused by inaccurate reading
agreement,the verbal act of agreeing
assent,agreement with a statement or proposal to do something
acceptance,(contract law) words signifying consent to the terms of an offer (thereby creating a contract)
concession,the act of conceding or yielding
conceding,the act of conceding or yielding
yielding,the act of conceding or yielding
accord,concurrence of opinion
conformity,concurrence of opinion
accordance,concurrence of opinion
connivance,agreement on a secret plot
collusion,agreement on a secret plot
cahoot,collusion
accession,agreeing with or consenting to (often unwillingly)
assenting,agreeing with or consenting to (often unwillingly)
conclusion,a final settlement
settlement,a conclusive resolution of a matter and disposition of it
compromise,an accommodation in which both sides make concessions
harmony,agreement of opinions
concord,agreement of opinions
second,a speech seconding a motion
secondment,a speech seconding a motion
citation,(law) the act of citing (as of spoken words or written passages or legal precedents etc.)
encounter,a hostile disagreement face-to-face
showdown,a hostile disagreement face-to-face
face-off,a hostile disagreement face-to-face
dissidence,disagreement; especially disagreement with the government
dissent,a difference of opinion
discord,disagreement among those expected to cooperate
dissension,disagreement among those expected to cooperate
division,discord that splits a group
variance,discord that splits a group
dispute,a disagreement or argument about something important
difference,a disagreement or argument about something important
conflict,a disagreement or argument about something important
straw man,a weak or sham argument set up to be easily refuted
strawman,a weak or sham argument set up to be easily refuted
argy-bargy,a verbal dispute; a wrangling argument
firestorm,an outburst of controversy
sparring,an argument in which the participants are trying to gain some advantage
collision,a conflict of opposed ideas or attitudes or goals
contention,a contentious speech act; a dispute where there is strong disagreement
argument,a contentious speech act; a dispute where there is strong disagreement
arguing,a contentious speech act; a dispute where there is strong disagreement
polemic,a controversy (especially over a belief or dogma)
quarrel,an angry dispute
wrangle,an angry dispute
run-in,an angry dispute
dustup,an angry dispute
affray,noisy quarrel
fracas,noisy quarrel
bicker,a quarrel about petty points
bickering,a quarrel about petty points
squabble,a quarrel about petty points
bust-up,a serious quarrel (especially one that ends a friendship)
offering,the verbal act of offering
request,the verbal act of requesting
asking,the verbal act of requesting
notice,a request for payment
invitation,a request (spoken or written) to participate or be present or take part in something
bidding,a request to be present
summons,a request to be present
invite,a colloquial expression for invitation
entreaty,earnest or urgent request
prayer,earnest or urgent request
appeal,earnest or urgent request
adjuration,a solemn and earnest appeal to someone to do something
demagogy,impassioned appeals to the prejudices and emotions of the populace
jingoism,an appeal intended to arouse patriotic emotions
beggary,a solicitation for money or food (especially in the street by an apparently penniless person)
begging,a solicitation for money or food (especially in the street by an apparently penniless person)
mendicancy,a solicitation for money or food (especially in the street by an apparently penniless person)
urgency,insistent solicitation and entreaty
urging,insistent solicitation and entreaty
courtship,a man's courting of a woman; seeking the affections of a woman (usually with the hope of marriage)
wooing,a man's courting of a woman; seeking the affections of a woman (usually with the hope of marriage)
courting,a man's courting of a woman; seeking the affections of a woman (usually with the hope of marriage)
bundling,a onetime custom during courtship of unmarried couples occupying the same bed without undressing
prayer,reverent petition to a deity
petition,reverent petition to a deity
orison,reverent petition to a deity
blessing,a ceremonial prayer invoking divine protection
benison,a spoken blessing
collect,a short prayer generally preceding the lesson in the Church of Rome or the Church of England
blessing,a short prayer of thanks before a meal
invocation,a prayer asking God's help as part of a religious service
rogation,a solemn supplication ceremony prescribed by the church
requiescat,a prayer for the repose of the soul of a dead person
recall,a call to return
charge,request for payment of a debt
billing,request for payment of a debt
demand,an urgent or peremptory request
challenge,a demand by a sentry for a password or identification
