word,definition
lotus,white Egyptian lotus: water lily of Egypt to southeastern Africa; held sacred by the Egyptians
lotus,native to eastern Asia; widely cultivated for its large pink or white flowers
peony,any of numerous plants widely cultivated for their showy single or double red or pink or white flowers
rush,grasslike plants growing in wet places and having cylindrical often hollow stems
siris,large spreading Old World tree having large leaves and globose clusters of greenish-yellow flowers and long seed pods that clatter in the wind
saman,large ornamental tropical American tree with bipinnate leaves and globose clusters of flowers with crimson stamens and seed pods that are eaten by cattle
inga,any tree or shrub of the genus Inga having pinnate leaves and showy usually white flowers; cultivated as ornamentals
guama,tropical tree of Central America and West Indies and Puerto Rico having spikes of white flowers; used as shade for coffee plantations
dita,evergreen tree of eastern Asia and Philippines having large leathery leaves and small green-white flowers in compact cymes; bark formerly used medicinally
arum,any plant of the family Araceae; have small flowers massed on a spadix surrounded by a large spathe
aroid,any plant of the family Araceae; have small flowers massed on a spadix surrounded by a large spathe
arum,starch resembling sago that is obtained from cuckoopint root
krubi,malodorous tropical plant having a spathe that resembles the corolla of a morning glory and attains a diameter of several feet
taro,herb of the Pacific islands grown throughout the tropics for its edible root and in temperate areas as an ornamental for its large glossy leaves
dalo,herb of the Pacific islands grown throughout the tropics for its edible root and in temperate areas as an ornamental for its large glossy leaves
taro,edible starchy tuberous root of taro plants
eddo,edible starchy tuberous root of taro plants
calla,South African plant widely cultivated for its showy pure white spathe and yellow spadix
ivy,Old World vine with lobed evergreen leaves and black berrylike fruits
puka,small roundheaded New Zealand tree having large resinous leaves and panicles of green-white flowers
sang,North American woodland herb similar to and used as substitute for the Chinese ginseng
pink,any of various flowers of plants of the genus Dianthus cultivated for their fragrant flowers
knawe,widely distributed low-growing Eurasian herb having narrow leaves and inconspicuous green flowers
orach,any of various herbaceous plants of the genus Atriplex that thrive in deserts and salt marshes
beet,biennial Eurasian plant usually having a swollen edible root; widely cultivated as a food crop
chard,beet lacking swollen root; grown as a vegetable for its edible leaves and stalks
kali,bushy plant of Old World salt marshes and sea beaches having prickly leaves; burned to produce a crude soda ash
nopal,any of several cacti of the genus Nopalea resembling prickly pears
nopal,cactus having yellow flowers and purple fruits
tuna,tropical American prickly pear of Jamaica
poke,tall coarse perennial American herb having small white flowers followed by blackish-red berries on long drooping racemes; young fleshy stems are edible; berries and root are poisonous
scoke,tall coarse perennial American herb having small white flowers followed by blackish-red berries on long drooping racemes; young fleshy stems are edible; berries and root are poisonous
ombu,fast-growing herbaceous evergreen tree of South America having a broad trunk with high water content and dark green oval leaves
caper,any of numerous plants of the genus Capparis
cress,any of various plants of the family Cruciferae with edible leaves that have a pungent taste
kale,a hardy cabbage with coarse curly leaves that do not form a head
kail,a hardy cabbage with coarse curly leaves that do not form a head
cole,a hardy cabbage with coarse curly leaves that do not form a head
swede,a cruciferous plant with a thick bulbous edible yellow root
napa,plant with an elongated head of broad stalked leaves resembling celery; used as a vegetable in east Asia
rape,Eurasian plant cultivated for its seed and as a forage crop
draba,any of numerous low-growing cushion-forming plants of the genus Draba having rosette-forming leaves and terminal racemes of small flowers with scapose or leafy stems; fruit is a dehiscent oblong or linear silique
woad,any of several herbs of the genus Isatis
stock,any of various ornamental flowering plants of the genus Malcolmia
stock,any of several Old World plants cultivated for their brightly colored flowers
runch,Eurasian weed having yellow or mauve or white flowers and podlike fruits
poppy,annual or biennial or perennial herbs having showy flowers
aster,any of various chiefly fall-blooming herbs of the genus Aster with showy daisylike flowers
daisy,any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl
mum,of China
inula,any plant of the genus Inula
iva,any of various coarse shrubby plants of the genus Iva with small greenish flowers; common in moist areas (as coastal salt marshes) of eastern and central North America
tansy,common perennial aromatic herb native to Eurasia having buttonlike yellow flower heads and bitter-tasting pinnate leaves sometimes used medicinally
loasa,any of various perennial South American plants of the genus Loasa having stinging hairs and showy white or yellow or reddish-orange flowers
key,a winged often one-seed indehiscent fruit as of the ash or elm or maple
bur,seed vessel having hooks or prickles
burr,seed vessel having hooks or prickles
disa,any orchid of the genus Disa; beautiful orchids with dark green leaves and usually hooded flowers; much prized as emblematic flowers in their native regions
vanda,any of numerous showy orchids of the genus Vanda having many large flowers in loose racemes
yam,any of a number of tropical vines of the genus Dioscorea many having edible tuberous roots
yam,edible tuber of any of several yams
grass,narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay
bent,grass for pastures and lawns especially bowling and putting greens
oat,annual grass of Europe and North Africa; grains used as food and fodder (referred to primarily in the plural: ‘oats’)
brome,any of various woodland and meadow grasses of the genus Bromus; native to temperate regions
chess,weedy annual native to Europe but widely distributed as a weed especially in wheat
cheat,weedy annual native to Europe but widely distributed as a weed especially in wheat
grama,pasture grass of plains of South America and western North America
kweek,trailing grass native to Europe now cosmopolitan in warm regions; used for lawns and pastures especially in southern United States and India
doob,trailing grass native to Europe now cosmopolitan in warm regions; used for lawns and pastures especially in southern United States and India
ragi,"East Indian cereal grass whose seed yield a somewhat bitter flour, a staple in the Orient"
ragee,"East Indian cereal grass whose seed yield a somewhat bitter flour, a staple in the Orient"
teff,an African grass economically important as a cereal grass (yielding white flour of good quality) as well as for forage and hay
tare,weedy annual grass often occurs in grainfields and other cultivated land; seeds sometimes considered poisonous
cheat,weedy annual grass often occurs in grainfields and other cultivated land; seeds sometimes considered poisonous
rice,annual or perennial rhizomatous marsh grasses; seed used for food; straw used for paper
smilo,perennial mountain rice native to Mediterranean region and introduced into North America
rye,hardy annual cereal grass widely cultivated in northern Europe where its grain is the chief ingredient of black bread and in North America for forage and soil improvement
cane,"a strong slender often flexible stem as of bamboos, reeds, rattans, or sugar cane"
reed,tall woody perennial grasses with hollow slender stems especially of the genera Arundo and Phragmites
durra,sorghums of dry regions of Asia and North Africa
doura,sorghums of dry regions of Asia and North Africa
milo,small drought-resistant sorghums having large yellow or whitish grains
sorgo,any of several sorghums cultivated as a source of syrup
grain,a cereal grass
wheat,annual or biennial grass having erect flower spikes and light brown grains
durum,"wheat with hard dark-colored kernels high in gluten and used for bread and pasta; grown especially in southern Russia, North Africa, and northern central North America"
spelt,hardy wheat grown mostly in Europe for livestock feed
emmer,hard red wheat grown especially in Russia and Germany; in United States as stock feed
corn,tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
corn,(Great Britain) any of various cereal plants (especially the dominant crop of the region — wheat in Great Britain or oats in Scotland and Ireland)
corn,the dried grains or kernels or corn used as animal feed or ground for meal
sedge,"grasslike or rushlike plant growing in wet places having solid stems, narrow grasslike leaves and spikelets of inconspicuous flowers"
chufa,European sedge having small edible nutlike tubers
grain,"dry seed-like fruit produced by the cereal grasses: e.g. wheat, barley, Indian corn"
rye,the seed of the cereal grass
gourd,any vine of the family Cucurbitaceae that bears fruits with hard rinds
gourd,any of numerous inedible fruits with hard rinds
melon,"any of various fruit of cucurbitaceous vines including: muskmelons, watermelons, cantaloupes, cucumbers"
luffa,any of several tropical annual climbers having large yellow flowers and edible young fruits; grown commercially for the mature fruit's dried fibrous interior that is used as a sponge
loofa,the dried fibrous part of the fruit of a plant of the genus Luffa; used as a washing sponge or strainer
luffa,the dried fibrous part of the fruit of a plant of the genus Luffa; used as a washing sponge or strainer
okra,tall coarse annual of Old World tropics widely cultivated in southern United States and West Indies for its long mucilaginous green pods used as basis for soups and stews; sometimes placed in genus Hibiscus
gumbo,tall coarse annual of Old World tropics widely cultivated in southern United States and West Indies for its long mucilaginous green pods used as basis for soups and stews; sometimes placed in genus Hibiscus
okra,long green edible beaked pods of the okra plant
kenaf,valuable fiber plant of East Indies now widespread in cultivation
kanaf,valuable fiber plant of East Indies now widespread in cultivation
bimli,valuable fiber plant of East Indies now widespread in cultivation
kenaf,fiber from an East Indian plant Hibiscus cannabinus
mahoe,erect forest tree of Cuba and Jamaica having variably hairy leaves and orange-yellow or orange-red flowers; yields a moderately dense timber for cabinetwork and gunstocks
mahoe,shrubby tree widely distributed along tropical shores; yields a light tough wood used for canoe outriggers and a fiber used for cordage and caulk; often cultivated for ornament
purau,shrubby tree widely distributed along tropical shores; yields a light tough wood used for canoe outriggers and a fiber used for cordage and caulk; often cultivated for ornament
simal,East Indian silk cotton tree yielding fibers inferior to kapok
kapok,massive tropical tree with deep ridges on its massive trunk and bearing large pods of seeds covered with silky floss; source of the silky kapok fiber
balsa,forest tree of lowland Central America having a strong very light wood; used for making floats and rafts and in crafts
balsa,strong lightweight wood of the balsa tree used especially for floats
kola,tree bearing large brown nuts containing e.g. caffeine; source of cola extract
cacao,tropical American tree producing cacao beans
arere,large west African tree having large palmately lobed leaves and axillary cymose panicles of small white flowers and one-winged seeds; yields soft white to pale yellow wood
samba,large west African tree having large palmately lobed leaves and axillary cymose panicles of small white flowers and one-winged seeds; yields soft white to pale yellow wood
lime,any of various deciduous trees of the genus Tilia with heart-shaped leaves and drooping cymose clusters of yellowish often fragrant flowers; several yield valuable timber
herb,a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests
heath,a low evergreen shrub of the family Ericaceae; has small bell-shaped pink or purple flowers
erica,any plant of the genus Erica
briar,evergreen treelike Mediterranean shrub having fragrant white flowers in large terminal panicles and hard woody roots used to make tobacco pipes
brier,evergreen treelike Mediterranean shrub having fragrant white flowers in large terminal panicles and hard woody roots used to make tobacco pipes
ling,common Old World heath represented by many varieties; low evergreen grown widely in the Northern Hemisphere
broom,common Old World heath represented by many varieties; low evergreen grown widely in the Northern Hemisphere
salal,small evergreen shrub of Pacific coast of North America having edible dark purple grape-sized berries
titi,deciduous shrubby tree of eastern North America having deeply fissured bark and sprays of small fragrant white flowers and sour-tasting leaves
beech,any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions
beech,wood of any of various beech trees; used for flooring and containers and plywood and tool handles
acorn,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
cup,cup-shaped plant organ
oak,a deciduous tree of the genus Quercus; has acorns and lobed leaves
oak,the hard durable wood of any oak; used especially for furniture and flooring
roble,tall graceful deciduous California oak having leathery leaves and slender pointed acorns
mast,nuts of forest trees (as beechnuts and acorns) accumulated on the ground
birch,any betulaceous tree or shrub of the genus Betula having a thin peeling bark
birch,hard close-grained wood of any of various birch trees; used especially in furniture and interior finishes and plywood
alder,north temperate shrubs or trees having toothed leaves and conelike fruit; bark is used in tanning and dyeing and the wood is rot-resistant
alder,wood of any of various alder trees; resistant to underwater rot; used for bridges etc
olive,hard yellow often variegated wood of an olive tree; used in cabinetwork
olive,evergreen tree cultivated in the Mediterranean region since antiquity and now elsewhere; has edible shiny black fruits
olive,small ovoid fruit of the European olive tree; important food and source of oil
ash,any of various deciduous pinnate-leaved ornamental or timber trees of the genus Fraxinus
ash,strong elastic wood of any of various ash trees; used for furniture and tool handles and sporting goods such as baseball bats
lilac,any of various plants of the genus Syringa having large panicles of usually fragrant flowers
manna,hardened sugary exudation of various trees
pecan,tree of southern United States and Mexico cultivated for its nuts
pecan,wood of a pecan tree
dhawa,an Indian tree of the family Combretaceae that is a source of timber and gum
dhava,an Indian tree of the family Combretaceae that is a source of timber and gum
guava,small tropical American shrubby tree; widely cultivated in warm regions for its sweet globular yellow fruit
guava,small tropical shrubby tree bearing small yellowish fruit
gum,any of various trees of the genera Eucalyptus or Liquidambar or Nyssa that are sources of gum
gum,wood or lumber from any of various gum trees especially the sweet gum
marri,very large red gum tree
clove,moderate sized very symmetrical red-flowered evergreen widely cultivated in the tropics for its flower buds which are source of cloves
clove,aromatic flower bud of a clove tree; yields a spice
ling,water chestnut whose spiny fruit has two rather than 4 prongs
canna,any plant of the genus Canna having large sheathing leaves and clusters of large showy flowers
abaca,Philippine banana tree having leafstalks that yield Manila hemp used for rope and paper etc
poon,any of several East Indian trees of the genus Calophyllum having shiny leathery leaves and lightweight hard wood
poon,wood of any poon tree; used for masts and spars
Maria,valuable timber tree of Panama
mamey,tropical American tree having edible fruit with a leathery rind
kiwi,climbing vine native to China; cultivated in New Zealand for its fuzzy edible fruit with green meat
cirio,candlewood of Mexico and southwestern California having tall columnar stems and bearing honey-scented creamy yellow flowers
weld,European mignonette cultivated as a source of yellow dye; naturalized in North America
viola,any of the numerous plants of the genus Viola
pansy,large-flowered garden plant derived chiefly from the wild pansy of Europe and having velvety petals of various colors
ramie,tall perennial herb of tropical Asia with dark green leaves; cultivated for the fiber from its woody stems that resembles flax
ramee,tall perennial herb of tropical Asia with dark green leaves; cultivated for the fiber from its woody stems that resembles flax
hemp,any plant of the genus Cannabis; a coarse bushy annual with palmate leaves and clusters of small green flowers; yields tough fibers and narcotic drugs
hop,twining perennials having cordate leaves and flowers arranged in conelike spikes; the dried flowers of this plant are used in brewing to add the characteristic bitter taste to beer
hops,twining perennials having cordate leaves and flowers arranged in conelike spikes; the dried flowers of this plant are used in brewing to add the characteristic bitter taste to beer
bine,European twining plant whose flowers are used chiefly to flavor malt liquors; cultivated in America
fig,Mediterranean tree widely cultivated for its edible fruit
pipal,fig tree of India noted for great size and longevity; lacks the prop roots of the banyan; regarded as sacred by Buddhists
pipul,fig tree of India noted for great size and longevity; lacks the prop roots of the banyan; regarded as sacred by Buddhists
elm,any of various trees of the genus Ulmus: important timber or shade trees
elm,hard tough wood of an elm tree; used for e.g. implements and furniture
iris,plants with sword-shaped leaves and erect stalks bearing bright-colored flowers composed of three petals and three drooping sepals
flag,plants with sword-shaped leaves and erect stalks bearing bright-colored flowers composed of three petals and three drooping sepals
orris,fragrant rootstock of various irises especially Florentine iris; used in perfumes and medicines
orris,German iris having large white flowers with lavender-tinged falls and a fragrant rhizome
falls,the petals or sepals of a flower that bend downward (especially the outer perianth of an iris)
glad,any of numerous plants of the genus Gladiolus native chiefly to tropical and South Africa having sword-shaped leaves and one-sided spikes of brightly colored funnel-shaped flowers; widely cultivated
lily,any liliaceous plant of the genus Lilium having showy pendulous flowers
onion,bulbous plant having hollow leaves cultivated worldwide for its rounded edible bulb
onion,the bulb of an onion plant
leek,plant having a large slender white bulb and flat overlapping dark green leaves; used in cooking; believed derived from the wild Allium ampeloprasum
chive,perennial having hollow cylindrical leaves used for seasoning
cive,perennial having hollow cylindrical leaves used for seasoning
ramp,North American perennial having a slender bulb and whitish flowers
aloe,succulent plants having rosettes of leaves usually with fiber like hemp and spikes of showy flowers; found chiefly in Africa
camas,any of several plants of the genus Camassia; North and South America
tulip,any of numerous perennial bulbous herbs having linear or broadly lanceolate leaves and usually a single showy flower
brier,a very prickly woody vine of the eastern United States growing in tangled masses having tough round stems with shiny leathery leaves and small greenish flowers followed by clusters of inedible shiny black berries
briar,a very prickly woody vine of the eastern United States growing in tangled masses having tough round stems with shiny leathery leaves and small greenish flowers followed by clusters of inedible shiny black berries
pia,perennial herb of East Indies to Polynesia and Australia; cultivated for its large edible root yielding Otaheite arrowroot starch
agave,tropical American plants with basal rosettes of fibrous sword-shaped leaves and flowers in tall spikes; some cultivated for ornament or for fiber
sisal,Mexican or West Indian plant with large fleshy leaves yielding a stiff fiber used in e.g. rope
ti,"shrub with terminal tufts of elongated leaves used locally for thatching and clothing; thick sweet roots are used as food; tropical southeastern Asia, Australia and Hawaii"
yucca,any of several evergreen plants of the genus Yucca having usually tall stout stems and a terminal cluster of white flowers; warmer regions of North America
msasa,small shrubby African tree having compound leaves and racemes of small fragrant green flowers
carob,evergreen Mediterranean tree with edible pods; the biblical carob
carob,long pod containing small beans and sweetish edible pulp; used as animal feed and source of a chocolate substitute
senna,any of various plants of the genus Senna having pinnately compound leaves and showy usually yellow flowers; many are used medicinally
dhak,East Indian tree bearing a profusion of intense vermilion velvet-textured blooms and yielding a yellow dye
dak,East Indian tree bearing a profusion of intense vermilion velvet-textured blooms and yielding a yellow dye
palas,East Indian tree bearing a profusion of intense vermilion velvet-textured blooms and yielding a yellow dye
dhal,tropical woody herb with showy yellow flowers and flat pods; much cultivated in the tropics
dahl,tropical woody herb with showy yellow flowers and flat pods; much cultivated in the tropics
guar,drought-tolerant herb grown for forage and for its seed which yield a gum used as a thickening agent or sizing material
broom,any of various shrubs of the genera Cytisus or Genista or Spartium having long slender branches and racemes of yellow flowers
sissu,East Indian tree whose leaves are used for fodder; yields a compact dark brown durable timber used in shipbuilding and making railroad ties
ceibo,small South American spiny tree with dark crimson and scarlet flowers solitary or clustered
whin,small Eurasian shrub having clusters of yellow flowers that yield a dye; common as a weed in Britain and the United States; sometimes grown as an ornamental
soy,erect bushy hairy annual herb having trifoliate leaves and purple to pink flowers; extensively cultivated for food and forage and soil improvement but especially for its nutritious oil-rich seeds; native to Asia
soya,erect bushy hairy annual herb having trifoliate leaves and purple to pink flowers; extensively cultivated for food and forage and soil improvement but especially for its nutritious oil-rich seeds; native to Asia
soy,a source of oil; used for forage and soil improvement and as food
sulla,perennial of southern Europe cultivated for forage and for its nectar-rich pink flowers that make it an important honey crop
hovea,any of several attractive evergreen shrubs of Australia grown for their glossy deep green foliage and flowers in rich blues and intense violets
anil,shrub of West Indies and South America that is a source of indigo dye
cube,any of several tropical American woody plants of the genus Lonchocarpus whose roots are used locally as a fish poison and commercially as a source of rotenone
lupin,any plant of the genus Lupinus; bearing erect spikes of usually purplish-blue flowers
medic,any of several Old World herbs of the genus Medicago having small flowers and trifoliate compound leaves
tolu,aromatic yellowish brown balsam from the tolu balsam tree used especially in cough syrups
bean,any of various leguminous plants grown for their edible seeds and pods
pea,a leguminous plant of the genus Pisum with small white flowers and long green pods containing edible green seeds
pea,the fruit or seed of a pea plant
roble,large tree of Trinidad and Guyana having odd-pinnate leaves and violet-scented axillary racemes of yellow flowers and long smooth pods; grown as a specimen in parks and large gardens
kiaat,deciduous South African tree having large odd-pinnate leaves and profuse fragrant orange-yellow flowers; yields a red juice and heavy strong durable wood
kino,East Indian tree yielding a resin or extract often used medicinally and in e.g. tanning
retem,desert shrub of Syria and Arabia having small white flowers; constitutes the juniper of the Old Testament; sometimes placed in genus Genista
tipu,semi-evergreen South American tree with odd-pinnate leaves and golden yellow flowers cultivated as an ornamental
gorse,very spiny and dense evergreen shrub with fragrant golden-yellow flowers; common throughout western Europe
whin,very spiny and dense evergreen shrub with fragrant golden-yellow flowers; common throughout western Europe
vetch,any of various climbing plants of the genus Vicia having pinnately compound leaves that terminate in tendrils and small variously colored flowers; includes valuable forage and soil-building plants
tare,any of several weedy vetches grown for forage
mung,erect bushy annual widely cultivated in warm regions of India and Indonesia and United States for forage and especially its edible seeds; chief source of bean sprouts used in Chinese cookery; sometimes placed in genus Phaseolus
mung,seed of the mung bean plant; used for food
moong,seed of the mung bean plant; used for food
palm,any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves
coyol,tropical American palm having edible nuts and yielding a useful fiber
areca,any of several tall tropical palms native to southeastern Asia having egg-shaped nuts
kitul,fishtail palm of India to Malay Peninsula; sap yields a brown sugar (jaggery) and trunk pith yields sago
coco,tall palm tree bearing coconuts as fruits; widely planted throughout the tropics
coir,stiff coarse fiber from the outer husk of a coconut
dock,"any of certain coarse weedy plants with long taproots, sometimes used as table greens or in folk medicine"
naiad,submerged aquatic plant having narrow leaves and small flowers; of fresh or brackish water
rose,any of many shrubs of the genus Rosa that bear roses
hip,the fruit of a rose plant
brier,Eurasian rose with prickly stems and fragrant leaves and bright pink flowers followed by scarlet hips
briar,Eurasian rose with prickly stems and fragrant leaves and bright pink flowers followed by scarlet hips
brier,tangled mass of prickly plants
icaco,small tropical American tree bearing edible plumlike fruit
haw,a spring-flowering shrub or small tree of the genus Crataegus
may,thorny Eurasian shrub of small tree having dense clusters of white to scarlet flowers followed by deep red berries; established as an escape in eastern North America
avens,any of various perennials of the genus Geum having usually pinnate basal leaves and variously colored flowers
toyon,ornamental evergreen treelike shrub of the Pacific coast of the United States having large white flowers and red berrylike fruits; often placed in genus Photinia
apple,native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits
plum,any of several trees producing edible oval fruit having a smooth skin and a single hard stone
sloe,wild plum of northeastern United States having dark purple fruits with yellow flesh
mei,Japanese ornamental tree with fragrant white or pink blossoms and small yellow fruits
gean,wild or seedling sweet cherry used as stock for grafting
islay,California evergreen wild plum with spiny leathery leaves and white flowers
peach,cultivated in temperate regions
sloe,a thorny Eurasian bush with plumlike fruits
pear,Old World tree having sweet gritty-textured juicy fruit; widely cultivated in many varieties
rowan,Eurasian tree with orange-red berrylike fruits
opepe,large African forest tree yielding a strong hard yellow to golden brown lumber; sometimes placed in genus Sarcocephalus
elder,any of numerous shrubs or small trees of temperate and subtropical Northern Hemisphere having white flowers and berrylike fruit
coca,a South American shrub whose leaves are chewed by natives of the Andes; a source of cocaine
elemi,fragrant resin obtain from trees of the family Burseraceae and used as incense
salai,East Indian tree yielding a resin used medicinally and burned as incense
myrrh,aromatic resin that is burned as incense and used in perfume
neem,large semi-evergreen tree of the East Indies; trunk exudes a tenacious gum; bitter bark used as a tonic; seeds yield an aromatic oil; sometimes placed in genus Melia
oca,South American wood sorrel cultivated for its edible tubers
oka,South American wood sorrel cultivated for its edible tubers
rue,European strong-scented perennial herb with grey-green bitter-tasting leaves; an irritant similar to poison ivy
lemon,a small evergreen tree that originated in Asia but is widely cultivated for its fruit
lime,any of various related trees bearing limes
dika,African tree with edible yellow fruit resembling mangos; valued for its oil-rich seed and hardy green wood that resists termites
osier,any of various willows having pliable twigs used in basketry and furniture
abele,a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces
aspen,any of several trees of the genus Populus having leaves on flattened stalks so that they flutter in the lightest wind
aalii,a small Hawaiian tree with hard dark wood
akee,widely cultivated in tropical and subtropical regions for its fragrant flowers and colorful fruits; introduced in Jamaica by William Bligh
genip,tropical American tree bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp
ginep,tropical American tree bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp
wahoo,deciduous shrub having purple capsules enclosing scarlet seeds
wahoo,upright deciduous plant with crimson pods and seeds; the eastern United States from New York to Florida and Texas
titi,tree of low-lying coastal areas of southeastern United States having glossy leaves and racemes of fragrant white flowers
maple,any of numerous trees or shrubs of the genus Acer bearing winged seeds in pairs; north temperate zone
maple,wood of any of various maple trees; especially the hard close-grained wood of the sugar maple; used especially for furniture and flooring
holly,any tree or shrub of the genus Ilex having red berries and shiny evergreen leaves with prickly edges
mate,South American holly; leaves used in making a drink like tea
mango,large evergreen tropical tree cultivated for its large oval fruit
sumac,a shrub or tree of the genus Rhus (usually limited to the non-poisonous members of the genus)
sumac,wood of a sumac
molle,small Peruvian evergreen with broad rounded head and slender pendant branches with attractive clusters of greenish flowers followed by clusters of rose-pink fruits
ebony,tropical tree of southern Asia having hard dark-colored heartwood used in cabinetwork
ebony,hard dark-colored heartwood of the ebony tree; used in cabinetwork and for piano keys
kaki,small deciduous Asiatic tree bearing large red or orange edible astringent fruit
sedum,any of various plants of the genus Sedum
orpin,perennial northern temperate plant with toothed leaves and heads of small purplish-white flowers
cypre,large tropical American tree of the genus Cordia grown for its abundant creamy white flowers and valuable wood
mint,any member of the mint family of plants
bugle,any of various low-growing annual or perennial evergreen herbs native to Eurasia; used for ground cover
dagga,relatively nontoxic South African herb smoked like tobacco
mint,any north temperate plant of the genus Mentha with aromatic leaves and small mauve flowers
basil,any of several Old World tropical aromatic annual or perennial herbs of the genus Ocimum
sage,any of various plants of the genus Salvia; a cosmopolitan herb
clary,aromatic herb of southern Europe; cultivated in Great Britain as a potherb and widely as an ornamental
marum,Mediterranean germander having small hairy leaves and reddish purple flowers; attractive to cats
thyme,any of various mints of the genus Thymus
benne,East Indian annual erect herb; source of sesame seed or benniseed and sesame oil
benni,East Indian annual erect herb; source of sesame seed or benniseed and sesame oil
benny,East Indian annual erect herb; source of sesame seed or benniseed and sesame oil
beak,"a beaklike, tapering tip on certain plant structures"
torch,tall-stalked very woolly mullein with densely packed yellow flowers; ancient Greeks and Romans dipped the stalks in tallow for funeral torches
pichi,Peruvian shrub with small pink to lavender tubular flowers; leaves yield a tonic and diuretic
teak,tall East Indian timber tree now planted in western Africa and tropical America for its hard durable wood
teak,hard strong durable yellowish-brown wood of teak trees; resistant to insects and to warping; used for furniture and in shipbuilding
gari,cassava with long tuberous edible roots and soft brittle stems; used especially to make cassiri (an intoxicating drink) and tapioca
tung,Chinese tree bearing seeds that yield tung oil
tea,a tropical evergreen shrub or small tree extensively cultivated in e.g. China and Japan and India; source of tea leaves
dill,aromatic Old World herb having aromatic threadlike foliage and seeds used as seasoning
cumin,dwarf Mediterranean annual long cultivated for its aromatic seeds
anise,native to Egypt but cultivated widely for its aromatic seeds and the oil from them used medicinally and as a flavoring in cookery
puka,South American shrub or small tree having long shining evergreen leaves and panicles of green or yellow flowers
cutch,tannin extract derived from any of several mangrove barks of Pacific areas
kutch,tannin extract derived from any of several mangrove barks of Pacific areas
nardo,Australian clover fern
ergot,a fungus that infects various cereal plants forming compact black masses of branching filaments that replace many grains of the plant; source of medicinally important alkaloids and of lysergic acid
mucor,any mold of the genus Mucor
galea,an organ shaped like a helmet; usually a vaulted and enlarged petal as in Aconitum
gill,any of the radiating leaflike spore-producing structures on the underside of the cap of a mushroom or similar fungus
hypha,any of the threadlike filaments forming the mycelium of a fungus
yeast,any of various single-celled fungi that reproduce asexually by budding or division
morel,any of various edible mushrooms of the genus Morchella having a brownish spongelike cap
Verpa,a morel whose fertile portion resembles a bell and is attached to the stipe only at the top
rust,any of various fungi causing rust disease in plants
smut,any fungus of the order Ustilaginales
bunt,fungus that destroys kernels of wheat by replacing them with greasy masses of smelly spores
bunt,similar to Tilletia caries
mold,a fungus that produces a superficial growth on various kinds of damp or decaying organic matter
mould,a fungus that produces a superficial growth on various kinds of damp or decaying organic matter
weed,any plant that crowds out cultivated plants
wort,"usually used in combination: ‘liverwort’, ‘milkwort’, ‘whorlywort’"
crop,the yield from plants in a single growing season
spur,tubular extension at the base of the corolla in some flowers
spine,a small sharp-pointed tip resembling a spike on a stem or leaf
thorn,a small sharp-pointed tip resembling a spike on a stem or leaf
brier,a thorny stem or twig
hair,filamentous hairlike growth on a plant
coma,(botany) a usually terminal tuft of bracts (as in the pineapple) or tuft of hairs (especially on certain seeds)
beard,a tuft or growth of hairs or bristles on certain plants such as iris or grasses
awn,slender bristlelike appendage found on the bracts of grasses
aril,fleshy and usually brightly colored cover of some seeds that develops from the ovule stalk and partially or entirely envelops the seed
duct,a continuous tube formed by a row of elongated cells lacking intervening end walls
ascus,saclike structure in which ascospores are formed through sexual reproduction of ascomycetes
theca,a case or sheath especially a pollen sac or moss capsule
sac,a case or sheath especially a pollen sac or moss capsule
sorus,cluster of sporangia usually on underside of a fern frond
sorus,a spore-producing structure in certain lichens and fungi
veil,a membranous covering attached to the immature fruiting body of certain mushrooms
velum,a membranous covering attached to the immature fruiting body of certain mushrooms
skirt,(Fungi) a remnant of the partial veil that in mature mushrooms surrounds the stem like a collar
pulp,a soft moist part of a fruit
flesh,a soft moist part of a fruit
pith,soft spongelike central cylinder of the stems of most flowering plants
stele,the usually cylindrical central vascular portion of the axis of a vascular plant
vein,any of the vascular bundles or ribs that form the branching framework of conducting and supporting tissues in a leaf or other plant organ
bast,"(botany) tissue that conducts synthesized food substances (e.g., from leaves) to parts where needed; consists primarily of sieve tubes"
bast,strong woody fibers obtained especially from the phloem of from various plants
gall,abnormal swelling of plant tissue caused by insects or microorganisms or injury
vine,"a plant with a weak stem that derives support from climbing, twining, or creeping along a surface"
snag,"a dead tree that is still standing, usually in an undisturbed forest"
tree,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
arbor,tree (as opposed to shrub)
stump,the base part of a tree that remains standing after the tree has been felled
stool,(forestry) the stump of a tree that has been felled or headed for the production of saplings
shrub,a low woody perennial plant usually having several major stems
